vehicle_id,vehicle_registration_plate,fb_page_id,title,description,url,image[0].url,image[1].url,image[2].url,image[3].url,image[4].url,image[5].url,image[6].url,image[7].url,image[8].url,image[9].url,address.addr1,address.city,address.region,address.postal_code,address.country,make,model,year,price,state_of_vehicle,availability,mileage.value,mileage.unit,transmission,fuel_type,drivetrain,body_style,exterior_color
YR18FNK,YR18FNK,467782659760947,2018 BMW 2 Series M Sport,2.0 230i M Sport Auto Euro 6 (s/s) 2dr,https://albarautos.co.uk/car-details/bmw-2-series-convertible-2018-petrol-automatic-202607214385804,https://m.atcdn.co.uk/a/media/w1024/cf1d736011eb46dda7f103a37f695c16.jpg,https://m.atcdn.co.uk/a/media/w1024/3a80d1beef394070b06c5542756d643b.jpg,https://m.atcdn.co.uk/a/media/w1024/cf2bf27f619b4b8eb24923e36d6309eb.jpg,https://m.atcdn.co.uk/a/media/w1024/63041892a20b45fe9dd9dfabbfa31d9e.jpg,https://m.atcdn.co.uk/a/media/w1024/338ea36118da499c88c29fb0c49d6987.jpg,https://m.atcdn.co.uk/a/media/w1024/e158bce56b794f5ca7764cd83ce2eff5.jpg,https://m.atcdn.co.uk/a/media/w1024/60e21e5951bd48a0a208a963a839d11a.jpg,https://m.atcdn.co.uk/a/media/w1024/44a90f509fc4421d9766a1202a6168bf.jpg,https://m.atcdn.co.uk/a/media/w1024/cb890b05f1b946328902a18b96bbc35d.jpg,https://m.atcdn.co.uk/a/media/w1024/f378396c04254aeb8e8977106c2ade69.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,BMW,2 Series,2018,13995 GBP,USED,AVAILABLE,61690,MI,AUTOMATIC,PETROL,RWD,Convertible,Orange
FV72HRW,FV72HRW,467782659760947,2022 Audi Q2 Sport,1.0 TFSI 30 Sport Euro 6 (s/s) 5dr,https://albarautos.co.uk/car-details/audi-q2-suv-2022-petrol-manual-202605292813140,https://m.atcdn.co.uk/a/media/w1024/c2ed0cf9dc674db786ef761ab15b77a3.jpg,https://m.atcdn.co.uk/a/media/w1024/d3736816712e4985a4143d34e0850f2d.jpg,https://m.atcdn.co.uk/a/media/w1024/31d8f724b08c4acca59bb41a0dc0bef6.jpg,https://m.atcdn.co.uk/a/media/w1024/56ec590cf7ed44ecbb1fa7e098b864a3.jpg,https://m.atcdn.co.uk/a/media/w1024/b9e4858f961c405db9bf4b61f0b80622.jpg,https://m.atcdn.co.uk/a/media/w1024/ea8978e111054f969b6ddd887916292e.jpg,https://m.atcdn.co.uk/a/media/w1024/1713537d3a57435cb25bcca93adca8c2.jpg,https://m.atcdn.co.uk/a/media/w1024/629015c18dbc43fea69a09ed169091e5.jpg,https://m.atcdn.co.uk/a/media/w1024/1efa4b9dabbb412fb88ced5dd03d27c5.jpg,https://m.atcdn.co.uk/a/media/w1024/2d15fde1fe954f1087ed229360b87109.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,Audi,Q2,2022,16595 GBP,USED,AVAILABLE,11000,MI,MANUAL,PETROL,FWD,SUV,Black
AP70HGD,AP70HGD,467782659760947,2020 BMW 2 Series Gran Coupe M Sport,2.0 220d M Sport Auto Euro 6 (s/s) 4dr,https://albarautos.co.uk/car-details/bmw-2-series-gran-coupe-saloon-2020-diesel-automatic-202605032090917,https://m.atcdn.co.uk/a/media/w1024/662f0f723d734a8cbc8459fcb84d5dbc.jpg,https://m.atcdn.co.uk/a/media/w1024/e6587965d8a640778f30e4240482ca73.jpg,https://m.atcdn.co.uk/a/media/w1024/3b91de5087ec481a9e951eb224822afe.jpg,https://m.atcdn.co.uk/a/media/w1024/9d8bec8bbaa543d5bd68ef75f30e0bfa.jpg,https://m.atcdn.co.uk/a/media/w1024/b50f7109920d49e99dc115432c6b8796.jpg,https://m.atcdn.co.uk/a/media/w1024/036bd4d1dbcc4a0ab97c2d04ba562518.jpg,https://m.atcdn.co.uk/a/media/w1024/311b134be84d441c8284ca2b446f8643.jpg,https://m.atcdn.co.uk/a/media/w1024/8042e1fba7e24f1ca2fae1827485f8c4.jpg,https://m.atcdn.co.uk/a/media/w1024/cebf127560b24bb89b1c36bc5157bd3a.jpg,https://m.atcdn.co.uk/a/media/w1024/fbde865bdca4442a9ce453eca1fd4a9f.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,BMW,2 Series Gran Coupe,2020,18795 GBP,USED,AVAILABLE,51043,MI,AUTOMATIC,DIESEL,FWD,Saloon,Blue
FN75DOH,FN75DOH,467782659760947,2025 Kia EV3 GT-Line,81.4kWh GT-Line Auto 5dr,https://albarautos.co.uk/car-details/kia-ev3-suv-2025-electric-automatic-202604171636162,https://m.atcdn.co.uk/a/media/w1024/39edcad668b24a3bbde4fed577387606.jpg,https://m.atcdn.co.uk/a/media/w1024/593d6b24b1a844cfb3c90733ad9411ef.jpg,https://m.atcdn.co.uk/a/media/w1024/f1c67b2f9d3648dfb0b59eecf2f46ab0.jpg,https://m.atcdn.co.uk/a/media/w1024/65956a46a6c3473fbe4bae798b08acbd.jpg,https://m.atcdn.co.uk/a/media/w1024/9678fbebbf83437cb96dcc9dbbbfc8f8.jpg,https://m.atcdn.co.uk/a/media/w1024/e00b3c9534c6459da58faf4e011ffdc5.jpg,https://m.atcdn.co.uk/a/media/w1024/57007fcd93264ac9a3950ceae2dd14ca.jpg,https://m.atcdn.co.uk/a/media/w1024/f3c0d070926c46d9a73b3f6835f9e1f8.jpg,https://m.atcdn.co.uk/a/media/w1024/0d1aa7dad7e74559b48534019f62d4cb.jpg,https://m.atcdn.co.uk/a/media/w1024/9d28b02ea03c42209bedebc0e834d286.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,Kia,EV3,2025,31995 GBP,USED,AVAILABLE,8745,MI,AUTOMATIC,ELECTRIC,FWD,SUV,Grey
PM22PEN,PM22PEN,467782659760947,2022 MINI Convertible Cooper Sport,1.5 Cooper Sport Steptronic Euro 6 (s/s) 2dr,https://albarautos.co.uk/car-details/mini-convertible-convertible-2022-petrol-automatic-202605292808885,https://m.atcdn.co.uk/a/media/w1024/cd85b0d7e3144cb7898a5e372ad32208.jpg,https://m.atcdn.co.uk/a/media/w1024/accf46290ccf4a16a31034376a4491e8.jpg,https://m.atcdn.co.uk/a/media/w1024/12c852dd4d35402e8546f12c55d5f3c8.jpg,https://m.atcdn.co.uk/a/media/w1024/75c27b5fe76440578e5f87ff9f44b85d.jpg,https://m.atcdn.co.uk/a/media/w1024/07c2dafab0fb44d8b5fd8f3c33695307.jpg,https://m.atcdn.co.uk/a/media/w1024/0ba87568132e44efa7d635063c482d5f.jpg,https://m.atcdn.co.uk/a/media/w1024/4326411e6b6f4f919e434e079a437401.jpg,https://m.atcdn.co.uk/a/media/w1024/3810caf88315469a92d5b243e9988bac.jpg,https://m.atcdn.co.uk/a/media/w1024/083318ad2d5946849e38bc9678b50fbf.jpg,https://m.atcdn.co.uk/a/media/w1024/8efc30eb0fd74be69710b5c0b9c71402.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,MINI,Convertible,2022,16595 GBP,USED,AVAILABLE,47946,MI,AUTOMATIC,PETROL,FWD,Convertible,Yellow
YP17BXM,YP17BXM,467782659760947,2017 Kia Ceed GT-Line S,1.6 CRDi GT-Line S Euro 6 (s/s) 5dr,https://albarautos.co.uk/car-details/kia-ceed-hatchback-2017-diesel-manual-202604231809207,https://m.atcdn.co.uk/a/media/w1024/b724adb42b6d4956843da6be2c1bd73c.jpg,https://m.atcdn.co.uk/a/media/w1024/ebdb8c00fb0d4dd09892690f98a628a0.jpg,https://m.atcdn.co.uk/a/media/w1024/d04219874a6d42b6b02d0f27a57bd4f4.jpg,https://m.atcdn.co.uk/a/media/w1024/49a7535eb0f74060b8e86a919e511d1c.jpg,https://m.atcdn.co.uk/a/media/w1024/c0075746209043ae99ffdc75bbe25d1d.jpg,https://m.atcdn.co.uk/a/media/w1024/85b03958e3ff432786b47946715ed612.jpg,https://m.atcdn.co.uk/a/media/w1024/2d6b6ceda002430480cdc9e1af310a64.jpg,https://m.atcdn.co.uk/a/media/w1024/6ee6ed5b36ca4d8792c0256588c7848d.jpg,https://m.atcdn.co.uk/a/media/w1024/e2ccc0c739f5402ca925599b40502e68.jpg,https://m.atcdn.co.uk/a/media/w1024/5b387ff23fe4488c86cd6a933bb294aa.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,Kia,Ceed,2017,7895 GBP,USED,AVAILABLE,73713,MI,MANUAL,DIESEL,FWD,Hatchback,White
EN66OJF,EN66OJF,467782659760947,2016 Volvo V40 R-Design Nav Plus,2.0 D4 R-Design Nav Plus Euro 6 (s/s) 5dr,https://albarautos.co.uk/car-details/volvo-v40-hatchback-2016-diesel-manual-202605082226772,https://m.atcdn.co.uk/a/media/w1024/2c798c986dea4ad5a95323232bab40c9.jpg,https://m.atcdn.co.uk/a/media/w1024/b35f6f0b5908426e9d89b00fecfd24ee.jpg,https://m.atcdn.co.uk/a/media/w1024/d853efc723fd4f2d9ef368b7a9bf9d05.jpg,https://m.atcdn.co.uk/a/media/w1024/ffb51690350c4a46b202e53d8c47f0d6.jpg,https://m.atcdn.co.uk/a/media/w1024/276ffb9593944f0d9cf2edc50e207ac0.jpg,https://m.atcdn.co.uk/a/media/w1024/df6ed8154c18427bb7bb98ff7e61dc4c.jpg,https://m.atcdn.co.uk/a/media/w1024/1759d73b68f8497f8e66a8c319446338.jpg,https://m.atcdn.co.uk/a/media/w1024/6684bdc598204cc3b346ec43ea7b0f8a.jpg,https://m.atcdn.co.uk/a/media/w1024/a763ab0eec3e4ee39efdd66b79741f42.jpg,https://m.atcdn.co.uk/a/media/w1024/9b5534294e634745a044d6cafbadb4bc.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,Volvo,V40,2016,8295 GBP,USED,AVAILABLE,74596,MI,MANUAL,DIESEL,FWD,Hatchback,White
KM72MKP,KM72MKP,467782659760947,2022 Audi A3 Sport,1.0 TFSI 30 Sport Sportback 5dr Petrol Manual Euro 6 (s/s) (110 ps),https://albarautos.co.uk/car-details/audi-a3-hatchback-2022-petrol-manual-202510147134809,https://m.atcdn.co.uk/a/media/w1024/ef32d6d301824302b3d4a969f0ddd40f.jpg,https://m.atcdn.co.uk/a/media/w1024/860d8f4a0a964bcc895192700dd97240.jpg,https://m.atcdn.co.uk/a/media/w1024/3237e58919384da695616e36a5e53df9.jpg,https://m.atcdn.co.uk/a/media/w1024/d500b37dbd034c889360bb8bb29ab296.jpg,https://m.atcdn.co.uk/a/media/w1024/fd5ddc66423441c3a0525c28590e1bed.jpg,https://m.atcdn.co.uk/a/media/w1024/60123e71233d46d89110548b8e621c54.jpg,https://m.atcdn.co.uk/a/media/w1024/b5f6931e6a7c45a09410018478371cd8.jpg,https://m.atcdn.co.uk/a/media/w1024/a7cd2cc757134bb5a6ee5c80c6d64215.jpg,https://m.atcdn.co.uk/a/media/w1024/dbe352d2b6c742449c3d596b76d0ef46.jpg,https://m.atcdn.co.uk/a/media/w1024/5165c0c71bfb4cf28e9d3fcf3f7dc89f.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,Audi,A3,2022,15995 GBP,USED,AVAILABLE,34063,MI,MANUAL,PETROL,FWD,Hatchback,Black
SE19WCF,SE19WCF,467782659760947,2019 Jaguar XE R-Sport,2.0d R-Sport Auto Euro 6 (s/s) 4dr,https://albarautos.co.uk/car-details/jaguar-xe-saloon-2019-diesel-automatic-202606253625977,https://m.atcdn.co.uk/a/media/w1024/4fb1c21e1e8c4c4a871915003f8e834c.jpg,https://m.atcdn.co.uk/a/media/w1024/874efb9b26234a0d8b56ad0259bdc730.jpg,https://m.atcdn.co.uk/a/media/w1024/de5b1a8fe65e4d979c2566adca87b832.jpg,https://m.atcdn.co.uk/a/media/w1024/04c0605595c046a5a3f49cc7b4e0d123.jpg,https://m.atcdn.co.uk/a/media/w1024/76c5ed0cf2ca4341a5c131482e532a1c.jpg,https://m.atcdn.co.uk/a/media/w1024/cc3ff1339f474a57bb4a3d955ef6bfcf.jpg,https://m.atcdn.co.uk/a/media/w1024/f1a9fe82061045539b23d4ac30064f96.jpg,https://m.atcdn.co.uk/a/media/w1024/48127cb5aff840bdab09053809f1c8ba.jpg,https://m.atcdn.co.uk/a/media/w1024/35515264b3934b73b08ff5c4801a7320.jpg,https://m.atcdn.co.uk/a/media/w1024/99e8bed4027749d6808568cc49e87ed9.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,Jaguar,XE,2019,11495 GBP,USED,AVAILABLE,47000,MI,AUTOMATIC,DIESEL,RWD,Saloon,White
EF59UMH,EF59UMH,467782659760947,2010 BMW Z4,3.0 30i Auto sDrive Euro 5 2dr,https://albarautos.co.uk/car-details/bmw-z4-convertible-2010-petrol-automatic-202606183409192,https://m.atcdn.co.uk/a/media/w1024/863ca1a925ca4c3eb760cb49f9705b53.jpg,https://m.atcdn.co.uk/a/media/w1024/862ea6f8c7524da1b390c23d23695cbd.jpg,https://m.atcdn.co.uk/a/media/w1024/c28ca378878b49b8b6f503901f375c83.jpg,https://m.atcdn.co.uk/a/media/w1024/e2c5f06b0cb14529a2211087370c21ce.jpg,https://m.atcdn.co.uk/a/media/w1024/32ba65e4849c49559e1e60ccd204ce35.jpg,https://m.atcdn.co.uk/a/media/w1024/7e3cfc311d2b47a384c2d3f4efe53db9.jpg,https://m.atcdn.co.uk/a/media/w1024/08b5c4668cc1405ea9469a914bc98e33.jpg,https://m.atcdn.co.uk/a/media/w1024/20ee36a5ae4e49df973d844d34bcb60c.jpg,https://m.atcdn.co.uk/a/media/w1024/4812813c402c46978956a62d9747c08b.jpg,https://m.atcdn.co.uk/a/media/w1024/4e446b343082480f981462622798774d.jpg,177 Leicester Road,Mountsorrel,Leicestershire,LE12 7DB,GB,BMW,Z4,2010,9495 GBP,USED,AVAILABLE,71235,MI,AUTOMATIC,PETROL,RWD,Convertible,Black
